Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,115.580002,115.599998,110.019997,113.970001,113.970001,55041
2017-04-01,114.120003,118.129997,113.010002,113.750000,113.750000,12393
2017-05-01,112.489998,112.489998,109.269997,110.230003,110.230003,139
2017-06-01,110.129997,112.269997,105.989998,106.419998,106.419998,10860
2017-07-01,105.860001,105.860001,103.370003,105.070000,105.070000,1114
2017-08-01,104.860001,108.370003,104.019997,108.370003,108.370003,144
2017-09-01,108.339996,109.900002,105.639999,106.120003,106.120003,2371
2017-10-01,105.760002,108.160004,105.519997,106.410004,106.410004,70
2017-11-01,106.870003,108.349998,104.709999,104.709999,104.709999,74
2017-12-01,104.389999,105.860001,103.019997,105.860001,105.860001,1086
2018-01-01,105.860001,107.620003,105.209999,105.209999,105.209999,2702
2018-02-01,105.269997,106.220001,104.220001,105.349998,105.349998,4092
2018-03-01,104.959999,106.470001,103.830002,104.870003,104.870003,3912
2018-04-01,104.870003,107.320000,104.870003,106.150002,106.150002,5516
2018-05-01,106.150002,109.879997,106.110001,108.849998,108.849998,5579
2018-06-01,108.330002,109.489998,104.489998,104.489998,104.489998,2618
2018-07-01,104.489998,105.160004,101.529999,101.820000,101.820000,4211
2018-08-01,101.800003,103.540001,99.889999,100.750000,100.750000,13865
2018-09-01,100.660004,101.070000,98.709999,99.889999,99.889999,9023
2018-10-01,99.709999,106.169998,99.709999,104.510002,104.510002,7541
2018-11-01,104.889999,105.410004,103.440002,104.889999,104.889999,10733
2018-12-01,105.360001,109.150002,105.360001,109.019997,109.019997,8919
2019-01-01,109.019997,112.230003,108.800003,112.190002,112.190002,8468
2019-02-01,112.019997,115.349998,111.599998,112.320000,112.320000,18928
2019-03-01,111.940002,114.160004,110.199997,112.220001,112.220001,13167
2019-04-01,111.529999,112.949997,109.449997,111.379997,111.379997,147039
2019-05-01,111.379997,113.379997,110.089996,113.379997,113.379997,140679
2019-06-01,114.089996,122.349998,113.480003,120.500000,120.500000,200135
2019-07-01,119.059998,125.290001,118.970001,124.610001,124.610001,400193
2019-08-01,123.730003,135.830002,123.470001,135.070007,135.070007,109899
2019-09-01,134.699997,137.250000,130.729996,130.729996,130.729996,36346
2019-10-01,130.630005,134.029999,129.300003,131.610001,131.610001,46562
2019-11-01,131.449997,133.029999,127.449997,128.970001,128.970001,37958
2019-12-01,128.350006,132.000000,127.500000,131.470001,131.470001,49388
2020-01-01,131.470001,139.440002,131.470001,138.929993,138.929993,62502
2020-02-01,138.100006,151.350006,136.220001,140.130005,140.130005,58784
2020-03-01,140.320007,146.649994,125.849998,142.190002,142.190002,95870
2020-04-01,140.500000,156.380005,139.800003,150.850006,150.850006,85602
2020-05-01,150.850006,158.320007,149.380005,151.169998,151.169998,69182
2020-06-01,151.539993,153.960007,143.300003,153.800003,153.800003,106064
2020-07-01,154.190002,161.990005,151.339996,161.990005,161.990005,66810
2020-08-01,162.710007,169.300003,157.000000,159.619995,159.619995,62079
2020-09-01,161.000000,161.919998,154.020004,156.029999,156.029999,61232
2020-10-01,156.690002,158.210007,154.119995,156.380005,156.380005,70875
2020-11-01,157.100006,159.910004,142.929993,144.350006,144.350006,98578
