Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,49.130001,49.689999,46.340000,48.209999,34.334816,743400
2008-08-01,48.189999,50.020000,46.139999,47.320000,33.700962,719900
2008-09-01,47.320000,47.689999,35.849998,43.009998,30.631403,1610800
2008-10-01,41.590000,42.830002,29.000000,33.790001,24.064995,3581500
2008-11-01,34.650002,35.990002,26.600000,31.490000,22.426954,2968700
2008-12-01,30.920000,34.660000,28.750000,32.980000,23.488115,5222400
2009-01-01,32.980000,34.750000,28.370001,29.400000,21.074362,2530800
2009-02-01,29.000000,31.490000,26.299999,26.600000,19.067276,2075400
2009-03-01,26.230000,30.450001,24.360001,28.950001,20.751799,2912800
2009-04-01,28.290001,32.990002,28.290001,32.439999,23.253492,1748000
2009-05-01,32.740002,35.880001,32.310001,35.880001,25.719330,2101900
2009-06-01,35.959999,37.250000,34.119999,35.259998,25.274899,1561400
2009-07-01,35.830002,39.070000,33.439999,38.830002,27.833937,3090600
2009-08-01,39.560001,40.799999,37.820000,39.869999,28.579418,3410100
2009-09-01,39.810001,43.000000,38.730000,41.959999,30.077568,2895900
2009-10-01,41.810001,44.060001,40.000000,40.900002,29.317753,4532500
2009-11-01,41.130001,47.430000,40.630001,43.080002,30.880398,3237200
2009-12-01,43.880001,44.509998,42.549999,43.090000,30.887564,3126000
2010-01-01,43.730000,44.930000,40.700001,40.889999,29.761198,6440000
2010-02-01,41.299999,42.369999,39.230000,41.740002,30.379869,2728300
2010-03-01,41.900002,44.700001,41.880001,44.520000,32.403255,4694200
2010-04-01,44.980000,46.549999,43.799999,44.320000,32.257690,2608400
2010-05-01,44.500000,44.860001,37.930000,39.939999,29.069767,3736700
2010-06-01,39.590000,42.340000,38.439999,38.820000,28.254595,1727900
2010-07-01,39.009998,42.889999,38.310001,42.389999,30.852970,1687700
2010-08-01,43.180000,43.680000,40.080002,40.700001,29.622921,1467800
2010-09-01,41.540001,45.330002,41.450001,44.790001,32.599773,1777600
2010-10-01,45.189999,47.029999,44.520000,46.490002,33.837086,1884400
2010-11-01,46.549999,48.360001,45.029999,45.259998,32.941849,1930400
2010-12-01,46.150002,48.299999,46.119999,47.799999,34.790565,2407600
2011-01-01,48.200001,49.150002,47.150002,48.470001,35.962578,2547200
2011-02-01,48.889999,50.360001,48.549999,49.889999,37.016144,1429600
2011-03-01,50.110001,50.270000,45.959999,49.860001,36.993885,2646500
2011-04-01,50.130001,52.130001,48.750000,52.029999,38.603943,1631800
2011-05-01,52.250000,52.349998,48.779999,50.849998,37.728432,1614700
2011-06-01,50.730000,50.759998,47.389999,50.169998,37.223896,2302500
2011-07-01,50.150002,51.020000,48.349998,49.090000,36.422581,2191600
2011-08-01,49.869999,49.869999,41.689999,45.529999,33.781223,5501800
2011-09-01,45.599998,45.990002,39.720001,40.650002,30.160475,5916100
2011-10-01,40.500000,47.490002,38.669998,45.230000,33.558636,4280600
2011-11-01,43.869999,46.090000,40.750000,44.669998,33.143143,3442900
2011-12-01,44.540001,45.330002,42.110001,43.180000,32.037632,5228500
2012-01-01,44.009998,46.209999,43.310001,45.540001,34.595280,3663500
2012-02-01,46.070000,48.320000,46.000000,47.709999,36.243771,2866100
2012-03-01,47.889999,48.959999,46.200001,48.270000,36.669167,5626800
2012-04-01,48.230000,48.970001,46.020000,47.700001,36.236168,4256100
2012-05-01,47.599998,48.200001,43.070000,43.439999,32.999973,4431200
2012-06-01,42.849998,45.680000,42.189999,45.669998,34.694035,2982800
2012-07-01,45.740002,46.430000,43.950001,46.000000,34.944733,2319800
2012-08-01,46.230000,48.080002,45.090000,47.139999,35.810745,2458400
2012-09-01,47.169998,50.340000,46.849998,48.029999,36.486866,4248400
2012-10-01,48.270000,49.349998,47.410000,47.740002,36.700596,3203400
2012-11-01,48.009998,48.599998,45.830002,48.470001,37.261795,6043600
2012-12-01,48.790001,50.130001,48.279999,49.419998,37.992111,6369000
2013-01-01,50.220001,51.750000,49.840000,51.400002,39.959133,9996500
2013-02-01,51.740002,52.130001,50.360001,51.240002,39.834751,5334600
2013-03-01,51.000000,52.700001,50.849998,52.279999,40.643261,6645800
2013-04-01,52.230000,53.680000,51.070000,53.680000,41.864048,4933600
2013-05-01,53.509998,55.930000,53.099998,53.380001,41.630066,6230900
2013-06-01,53.450001,53.910000,49.750000,51.509998,40.171696,5370400
2013-07-01,51.919998,54.880001,51.270000,54.169998,42.610313,5099300
2013-08-01,54.730000,55.119999,52.750000,52.840000,41.564129,4948100
2013-09-01,53.520000,57.200001,53.189999,55.549999,43.695843,5131700
